title,author,image_url,rating,rating_count
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922._SY75_.jpg,4.63,"844,282"
Happy Place,Emily Henry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660145160i/61718053._SY75_.jpg,4.06,"574,386"
Yellowface,R.F. Kuang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687082673i/59357120._SY75_.jpg,3.87,"227,094"
"Love, Theoretically",Ali Hazelwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681476644i/61326735._SY75_.jpg,4.17,"239,576"
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655928079i/60784546._SY75_.jpg,4.26,"161,237"
"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654625328i/61198133._SY75_.jpg,4.02,"74,473"
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687463048i/90202302._SY75_.jpg,4.43,"343,299"
"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674501506i/62816044._SY75_.jpg,4.15,"73,162"
Tress of the Emerald Sea,Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672574587i/60531406._SY75_.jpg,4.47,"79,247"
"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651622856i/60657589._SY75_.jpg,4.07,"44,810"
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648744814i/60652997._SY75_.jpg,4.16,"91,941"
Hello Beautiful,Ann Napolitano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687803098i/61771675._SY75_.jpg,4.20,"188,009"
"Yours Truly (Part of Your World, #2)",Abby Jimenez,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660857282i/61918816._SY75_.jpg,4.34,"159,215"
