Title,Author,Image URL,Rating
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1701980900i/61431922._SY75_.jpg,"4.63 avg rating — 858,170 ratings"
Happy Place,Emily Henry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660145160i/61718053._SY75_.jpg,"4.06 avg rating — 578,174 ratings"
Yellowface,R.F. Kuang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687082673i/59357120._SY75_.jpg,"3.87 avg rating — 230,939 ratings"
"Love, Theoretically",Ali Hazelwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681476644i/61326735._SY75_.jpg,"4.16 avg rating — 242,107 ratings"
"Divine Rivals (Letters of Enchantment, #1)",Rebecca   Ross,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655928079i/60784546._SY75_.jpg,"4.26 avg rating — 164,652 ratings"
"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654625328i/61198133._SY75_.jpg,"4.02 avg rating — 74,817 ratings"
"Iron Flame (The Empyrean, #2)",Rebecca Yarros,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687463048i/90202302._SY75_.jpg,"4.42 avg rating — 360,714 ratings"
"A Curse for True Love (Once Upon a Broken Heart, #3)",Stephanie Garber,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674501506i/62816044._SY75_.jpg,"4.15 avg rating — 75,106 ratings"
Tress of the Emerald Sea,Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672574587i/60531406._SY75_.jpg,"4.47 avg rating — 79,922 ratings"
"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651622856i/60657589._SY75_.jpg,"4.07 avg rating — 45,399 ratings"
"Hell Bent (Alex Stern, #2)",Leigh Bardugo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648744814i/60652997._SY75_.jpg,"4.16 avg rating — 92,344 ratings"
Hello Beautiful,Ann Napolitano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1687803098i/61771675._SY75_.jpg,"4.20 avg rating — 190,030 ratings"
"Yours Truly (Part of Your World, #2)",Abby Jimenez,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660857282i/61918816._SY75_.jpg,"4.34 avg rating — 160,606 ratings"
"The Right Move (Windy City, #2)",Liz Tomforde,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674590603i/84943172._SY75_.jpg,"4.46 avg rating — 134,404 ratings"
All the Dangerous Things,Stacy Willingham,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652631076i/60784636._SY75_.jpg,"4.10 avg rating — 132,571 ratings"
"The Adventures of Amina al-Sirafi (Amina al-Sirafi, #1)",Shannon Chakraborty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663869260i/61294937._SX50_.jpg,"4.31 avg rating — 28,346 ratings"
"Final Offer (Dreamland Billionaires, #3)",Lauren Asher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675342454i/61681786._SY75_.jpg,"4.26 avg rating — 165,109 ratings"
Vera Wong's Unsolicited Advice for Murderers,Jesse Q. Sutanto,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1671523771i/61827543._SY75_.jpg,"4.05 avg rating — 54,487 ratings"
Maame,Jessica George,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666031380i/60784605._SY75_.jpg,"4.08 avg rating — 60,890 ratings"
"The Ashes and the Star-Cursed King (Crowns of Nyaxia, #2)",Carissa Broadbent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676294168i/62335396._SX50_.jpg,"4.19 avg rating — 110,026 ratings"
How to Sell a Haunted House,Grady Hendrix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1650818993i/59414094._SY75_.jpg,"3.72 avg rating — 77,902 ratings"
Lady Tan's Circle of Women,Lisa See,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1683735261i/62919732._SY75_.jpg,"4.38 avg rating — 47,994 ratings"
In the Lives of Puppets,T.J. Klune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1699617963i/60784549._SY75_.jpg,"3.98 avg rating — 42,990 ratings"
Spare,Prince Harry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673458354i/62296528._SY75_.jpg,"3.88 avg rating — 304,409 ratings"
"King of Pride (Kings of Sin, #2)",Ana Huang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680192054i/62994279._SY75_.jpg,"3.98 avg rating — 101,616 ratings"
The True Love Experiment,Christina Lauren,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677786623i/62361081._SY75_.jpg,"4.17 avg rating — 86,595 ratings"
"Things We Left Behind (Knockemout, #3)",Lucy Score,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677175478i/116536542._SY75_.jpg,"4.46 avg rating — 143,934 ratings"
Weyward,Emilia Hart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677756582i/60654349._SY75_.jpg,"4.13 avg rating — 77,462 ratings"
"A Day of Fallen Night (The Roots of Chaos, #0)",Samantha    Shannon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675653942i/60766189._SY75_.jpg,"4.42 avg rating — 21,553 ratings"
The Collected Regrets of Clover,Mikki Brammer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663608724i/61214136._SY75_.jpg,"4.18 avg rating — 35,296 ratings"
"A Soul of Ash and Blood (Blood and Ash, #5)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677612497i/63847274._SY75_.jpg,"3.98 avg rating — 46,790 ratings"
Clytemnestra,Costanza Casati,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656358463i/61361681._SX50_.jpg,"4.26 avg rating — 13,710 ratings"
"Powerless  (Chestnut Springs, #3)",Elsie Silver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673028197i/63031640._SY75_.jpg,"4.14 avg rating — 94,473 ratings"
What Lies in the Woods,Kate Alice Marshall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652628677i/60784373._SY75_.jpg,"3.97 avg rating — 85,149 ratings"
"Reckless (Chestnut Springs, #4)",Elsie Silver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681482426i/108518990._SY75_.jpg,"4.41 avg rating — 82,781 ratings"
Tom Lake,Ann Patchett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691084837i/63241104._SY75_.jpg,"4.14 avg rating — 115,014 ratings"
None of This Is True,Lisa Jewell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1686092508i/62334530._SY75_.jpg,"4.18 avg rating — 193,868 ratings"
The Wishing Game,Meg Shaffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670879379i/60864829._SY75_.jpg,"4.20 avg rating — 57,551 ratings"
"Secretly Yours (A Vine Mess, #1)",Tessa Bailey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658425744i/61109599._SX50_.jpg,"3.32 avg rating — 88,272 ratings"
The Only One Left,Riley Sager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1668181003i/62703226._SY75_.jpg,"4.15 avg rating — 140,972 ratings"
Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682956296i/61190770._SY75_.jpg,"4.14 avg rating — 17,264 ratings"
Romantic Comedy,Curtis Sittenfeld,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1679496983i/62628727._SY75_.jpg,"3.69 avg rating — 132,972 ratings"
"Not in a Billion Years (True Love, #1)",Camilla Isley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1688811112i/174186566._SY75_.jpg,3.87 avg rating — 850 ratings
"Heir of Broken Fate (HOBF, #1)",Mads Rafferty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682909594i/145622214._SY75_.jpg,"3.78 avg rating — 3,129 ratings"
The Seven Year Slip,Ashley Poston,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1685350807i/62926938._SX50_.jpg,"4.30 avg rating — 53,178 ratings"
Go as a River,Shelley Read,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670147458i/63922274._SY75_.jpg,"4.32 avg rating — 34,950 ratings"
Someone Else's Shoes,Jojo Moyes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666822989i/62971668._SY75_.jpg,"3.98 avg rating — 137,392 ratings"
The Writing Retreat,Julia Bartz,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674683360i/61273863._SY75_.jpg,"3.44 avg rating — 49,271 ratings"
The House of Eve,Sadeqa Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675909166i/61273858._SX50_.jpg,"4.26 avg rating — 53,406 ratings"
"These Infinite Threads (This Woven Kingdom, #2)",Tahereh Mafi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1656264319i/61085925._SY75_.jpg,"4.13 avg rating — 17,969 ratings"
"The General (Heroes of the Empire, #2)",Israh Azizi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1698603876i/198566969._SY75_.jpg,4.71 avg rating — 21 ratings
Big Swiss,Jen Beagin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653958990i/60701439._SY75_.jpg,"3.69 avg rating — 36,713 ratings"
Atalanta,Jennifer Saint,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675082381i/61884838._SY75_.jpg,"3.80 avg rating — 10,587 ratings"
"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1652284977i/60784912._SY75_.jpg,"4.34 avg rating — 10,748 ratings"
"Chain of Thorns (The Last Hours, #3)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666441294i/17699859._SY75_.jpg,"4.05 avg rating — 39,673 ratings"
Hang the Moon,Jeannette Walls,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655999030i/61341819._SY75_.jpg,"3.84 avg rating — 46,361 ratings"
Yumi and the Nightmare Painter,Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1689135481i/60531416._SY75_.jpg,"4.52 avg rating — 30,270 ratings"
I Have Some Questions for You,Rebecca Makkai,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658970269i/61053829._SY75_.jpg,"3.64 avg rating — 79,715 ratings"
"Fall of Ruin and Wrath (Awakening, #1)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677160116i/65214365._SX50_.jpg,"4.07 avg rating — 23,536 ratings"
"The Love Wager (Mr. Wrong Number, #2)",Lynn Painter,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655833044i/60487511._SY75_.jpg,"3.91 avg rating — 45,448 ratings"
"Heartstopper: Volume Five (Heartstopper, #5)",Alice Oseman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1695913246i/53344030._SY75_.jpg,"4.63 avg rating — 15,293 ratings"
The Wind Knows My Name,Isabel Allende,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684816057i/62583516._SY75_.jpg,"4.05 avg rating — 22,385 ratings"
The Villa,Rachel Hawkins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1651426717i/60784641._SY75_.jpg,"3.64 avg rating — 72,462 ratings"
"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676060503i/109554429._SY75_.jpg,"4.73 avg rating — 10,183 ratings"
Lone Women,Victor LaValle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673265868i/60460704._SY75_.jpg,"3.73 avg rating — 19,154 ratings"
"The Last Devil to Die (Thursday Murder Club, #4)",Richard Osman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680740298i/62226126._SY75_.jpg,"4.54 avg rating — 60,844 ratings"
Throne of the Fallen,Kerri Maniscalco,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673510962i/73071451._SY75_.jpg,"4.22 avg rating — 10,858 ratings"
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659407155i/61714633._SY75_.jpg,"4.23 avg rating — 51,124 ratings"
A House with Good Bones,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664972416i/60784409._SY75_.jpg,"3.72 avg rating — 24,091 ratings"
The Last Tale of the Flower Bride,Roshani Chokshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675641961i/61150759._SY75_.jpg,"3.70 avg rating — 16,364 ratings"
"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1670870689i/65969788._SY75_.jpg,"4.54 avg rating — 13,137 ratings"
The Bandit Queens,Parini Shroff,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1653323706i/61065982._SY75_.jpg,"3.93 avg rating — 24,041 ratings"
"Mysteries of Thorn Manor (Sorcery of Thorns, #1.5)",Margaret  Rogerson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678637845i/61272184._SY75_.jpg,"4.12 avg rating — 17,452 ratings"
"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel  Smythe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663971909i/62698816._SX50_.jpg,"4.52 avg rating — 22,241 ratings"
Devious Obsession,S. Massery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678112196i/65001465._SX50_.jpg,"4.07 avg rating — 9,718 ratings"
"The Bitter Past (Porter Beck, #1)",Bruce Borgos,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1680589749i/61884882._SY75_.jpg,"4.12 avg rating — 1,111 ratings"
The House Is on Fire,Rachel Beanland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1678326118i/61273814._SY75_.jpg,"4.11 avg rating — 11,833 ratings"
The Ferryman,Justin Cronin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659983263i/61282437._SY75_.jpg,"3.95 avg rating — 21,595 ratings"
"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681921623i/62919356._SY75_.jpg,"3.55 avg rating — 12,235 ratings"
"That Time I Got Drunk and Saved a Human (Mead Mishaps, #3)",Kimberly Lemming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684867278i/122752652._SY75_.jpg,"4.25 avg rating — 3,844 ratings"
"Bone Island: Book of Danvers (Tales of Weeping Hollow, #2)",Nicole Fiorina,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1677751800i/123164084._SY75_.jpg,"4.45 avg rating — 1,192 ratings"
Stone Cold Fox,Rachel Koller Croft,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655672906i/61053935._SY75_.jpg,"3.67 avg rating — 17,045 ratings"
"The Crown of Oaths and Curses (The Mortal Fates, #1)",J.  Bree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672867196i/63119009._SY75_.jpg,"4.34 avg rating — 6,511 ratings"
"Georgie, All Along",Kate Clayborn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675710465i/60604190._SX50_.jpg,"3.82 avg rating — 44,346 ratings"
"God of Ruin (Legacy of Gods, #4)",Rina Kent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1691970083i/63346945._SY75_.jpg,"4.13 avg rating — 22,357 ratings"
"Sword Catcher (Sword Catcher, #1)",Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1674841074i/36679274._SY75_.jpg,"3.87 avg rating — 7,744 ratings"
Thornhedge,T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1676554049i/61884932._SY75_.jpg,"4.09 avg rating — 12,902 ratings"
Murder Your Employer: The McMasters Guide to Homicide,Rupert Holmes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675615554i/61272658._SX50_.jpg,"3.90 avg rating — 17,120 ratings"
"Loathe to Love You (The STEMinist Novellas, #1-3)",Ali Hazelwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1672774685i/59054191._SY75_.jpg,"3.89 avg rating — 41,033 ratings"
A Study in Drowning,Ava Reid,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1675782203i/75302266._SY75_.jpg,"3.95 avg rating — 18,393 ratings"
Out on a Limb,Hannah Bonam-Young,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1682792551i/124950295._SY75_.jpg,"4.41 avg rating — 29,897 ratings"
The Drift,C.J. Tudor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673872095i/60965424._SY75_.jpg,"3.72 avg rating — 10,074 ratings"
The Drowning Woman,Robyn Harding,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681110477i/62874245._SY75_.jpg,"4.06 avg rating — 23,582 ratings"
The Covenant of Water,Abraham   Verghese,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1666568999i/62687857._SY75_.jpg,"4.50 avg rating — 91,373 ratings"
"Practice Makes Perfect (When in Rome, #2)",Sarah       Adams,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659979546i/61897968._SY75_.jpg,"4.05 avg rating — 79,547 ratings"
"Poverty, by America",Matthew Desmond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1665696294i/61358638._SY75_.jpg,"4.30 avg rating — 20,742 ratings"
"The Perfumist of Paris (The Jaipur Trilogy, #3)",Alka Joshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1661129675i/61062499._SY75_.jpg,"4.17 avg rating — 19,269 ratings"
"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1681507578i/61150440._SX50_.jpg,"4.12 avg rating — 22,872 ratings"
"Finlay Donovan Jumps the Gun (Finlay Donovan, #3)",Elle Cosimano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673297894i/60784612._SY75_.jpg,"3.82 avg rating — 43,273 ratings"
"Really Good, Actually",Monica Heisey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655905197i/60877616._SY75_.jpg,"3.17 avg rating — 52,406 ratings"
