title,author,rating,isbn,language,pages,ratings_count,reviews_count,year,publisher
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,eng,652,2095690,27591,9/16/2006,Scholastic Inc.
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,eng,870,2153167,29221,9/1/2004,Scholastic Inc.
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,eng,352,6333,244,11/1/2003,Scholastic
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,eng,435,2339585,36325,5/1/2004,Scholastic Inc.
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,eng,2690,41428,164,9/13/2004,Scholastic
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,en-US,152,19,1,4/26/2005,Nimble Books
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,eng,3342,28242,808,9/12/2005,Scholastic
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,eng,815,3628,254,11/1/2005,Gramercy Books
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,eng,815,249558,4080,4/30/2002,Del Rey Books
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,eng,215,4930,460,8/3/2004,Crown
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,eng,6,1266,253,3/23/2005,Random House Audio
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,eng,815,2877,195,1/17/1996,Wings Books
A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,eng,544,248558,9396,9/14/2004,Broadway Books
Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,eng,55,7270,499,12/3/2002,Broadway Books
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,eng,256,2088,131,9/14/2004,Broadway Books
In a Sunburned Country,Bill Bryson,4.07,0767903862,eng,335,72451,4245,5/15/2001,Broadway Books
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,eng,304,49240,2211,6/28/2000,Broadway Books
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks
Notes from a Small Island,Bill Bryson,3.91,0380727501,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,eng,1728,101233,1550,9/25/2012,Ballantine Books
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt
